sample_id,text,esg_label,sentiment_label,source_name,source_url,company,risk_label,split_source
manual_esg_test_001,The company reported a significant reduction in carbon emissions through renewable energy adoption.,Environmental,Positive,manual,,Company A,Low,manual_esg_test.csv
manual_esg_test_002,The company faced regulatory criticism for failing to disclose climate-related risks.,Environmental,Negative,manual,,Company B,High,manual_esg_test.csv
manual_esg_test_003,The firm increased investment in water conservation and waste reduction programs.,Environmental,Positive,manual,,Company C,Low,manual_esg_test.csv
manual_esg_test_004,The company reported higher greenhouse gas emissions from its manufacturing operations.,Environmental,Negative,manual,,Company D,High,manual_esg_test.csv
manual_esg_test_005,The company published its annual climate transition plan.,Environmental,Neutral,manual,,Company E,Medium,manual_esg_test.csv
manual_esg_test_006,The company improved workplace safety training and reduced employee injury rates.,Social,Positive,manual,,Company F,Low,manual_esg_test.csv
manual_esg_test_007,The firm was criticized for poor labor conditions in its supplier factories.,Social,Negative,manual,,Company G,High,manual_esg_test.csv
manual_esg_test_008,The company expanded diversity and inclusion programs across global offices.,Social,Positive,manual,,Company H,Low,manual_esg_test.csv
manual_esg_test_009,The company reported a data privacy incident affecting customer information.,Social,Negative,manual,,Company I,High,manual_esg_test.csv
manual_esg_test_010,The company announced a new employee wellness policy.,Social,Neutral,manual,,Company J,Medium,manual_esg_test.csv
manual_esg_test_011,The board strengthened audit committee oversight and compliance controls.,Governance,Positive,manual,,Company K,Low,manual_esg_test.csv
manual_esg_test_012,The company was investigated for bribery and weak internal controls.,Governance,Negative,manual,,Company L,High,manual_esg_test.csv
manual_esg_test_013,The firm improved board independence by appointing additional independent directors.,Governance,Positive,manual,,Company M,Low,manual_esg_test.csv
manual_esg_test_014,The company faced shareholder criticism over executive compensation practices.,Governance,Negative,manual,,Company N,High,manual_esg_test.csv
manual_esg_test_016,The company reported quarterly revenue growth above analyst expectations.,Non-ESG,Positive,manual,,Company P,Low,manual_esg_test.csv
manual_esg_test_017,The firm launched a new mobile application for retail customers.,Non-ESG,Neutral,manual,,Company Q,Low,manual_esg_test.csv
manual_esg_test_018,The company opened new stores in several Asian markets.,Non-ESG,Neutral,manual,,Company R,Low,manual_esg_test.csv
manual_esg_test_020,The company reported lower sales due to weak consumer demand.,Non-ESG,Negative,manual,,Company T,Low,manual_esg_test.csv
1,"Microsoft states that it is pursuing carbon negative, water positive, and zero waste goals by 2030, with environmental reporting focused on carbon, water, waste, and ecosystems.",Environmental,Positive,Microsoft Sustainability,https://www.microsoft.com/en-us/corporate-responsibility/sustainability,Microsoft,Low,esg_real_world_50_samples.csv
2,Microsoft reported progress toward its environmental goals but also acknowledged pressure from Scope 3 and supplier-related emissions linked to business growth and infrastructure demand.,Environmental,Neutral,Microsoft Sustainability Report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,Microsoft,Medium,esg_real_world_50_samples.csv
3,"Apple describes its Apple 2030 plan as a strategy to reduce greenhouse gas emissions through recycled materials, renewable energy, lower-carbon transport, and carbon removal.",Environmental,Positive,Apple Environment,https://www.apple.com/environment/,Apple,Low,esg_real_world_50_samples.csv
4,Apple's environmental reporting highlights increased use of recycled and renewable materials across products to reduce product lifecycle emissions.,Environmental,Positive,Apple Environmental Progress Report 2024,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple,Low,esg_real_world_50_samples.csv
5,"Walmart says its sustainability work includes reducing greenhouse gas emissions, regenerating natural resources, reducing product and packaging waste, and improving supply chain resilience.",Environmental,Positive,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv
6,"Walmart reported that nearly half of its global electricity needs were supplied by renewable sources in 2024, while continuing to track progress against long-term climate goals.",Environmental,Positive,Walmart FY2025 ESG Report,https://corporate.walmart.com/content/dam/corporate/documents/esgreport/2025/FY2025-Walmart-ESG-Report.pdf,Walmart,Low,esg_real_world_50_samples.csv
7,Amazon reported that all electricity consumed by its operations was matched with renewable energy sources in 2024 for the second consecutive year.,Environmental,Positive,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-report,Amazon,Low,esg_real_world_50_samples.csv
8,"Amazon's 2024 sustainability report discusses decarbonization, waste prevention, responsible diversion of waste, and broader sustainability initiatives across business units.",Environmental,Positive,Amazon Sustainability Report PDF,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Low,esg_real_world_50_samples.csv
9,Coca-Cola was criticized by campaigners after changing a reusable packaging target and emphasizing recycled content and collection goals instead of the earlier reuse commitment.,Environmental,Negative,Guardian Coca-Cola reusable packaging report,https://www.theguardian.com/environment/2024/dec/03/coca-cola-accused-dropping-reusable-packaging-target,Coca-Cola,High,esg_real_world_50_samples.csv
10,Los Angeles County sued PepsiCo and Coca-Cola over allegations that the companies misled the public about plastic bottle recyclability and environmental impacts.,Environmental,Negative,AP beverage plastic lawsuit,https://apnews.com/article/c326225a08b2a2778afdd27d3db2d628,Coca-Cola / PepsiCo,High,esg_real_world_50_samples.csv
11,"A German court ruled that Apple could not advertise its Apple Watch as carbon neutral in Germany, citing concerns about carbon offset claims and long-term project certainty.",Environmental,Negative,Reuters Apple Watch carbon-neutral ruling,https://www.reuters.com/sustainability/climate-energy/apple-watch-not-co2-neutral-product-german-court-finds-2025-08-26/,Apple,High,esg_real_world_50_samples.csv
12,"The SEC adopted rules to enhance and standardize climate-related disclosures by public companies, reflecting investor demand for comparable climate risk information.",Environmental,Neutral,SEC climate disclosure rule,https://www.sec.gov/newsroom/press-releases/2024-31,SEC climate rule,Medium,esg_real_world_50_samples.csv
13,Nike's sustainability materials frame climate change as a major challenge and describe innovation efforts intended to reduce environmental impact across products and operations.,Environmental,Positive,Nike Sustainability,https://about.nike.com/en/mission/focus-areas/sustainability,Nike,Low,esg_real_world_50_samples.csv
14,"Apple reported continued work on supplier clean energy, recycled inputs, and lower-carbon product design as part of its broader emissions reduction plan.",Environmental,Positive,Apple Environment,https://www.apple.com/environment/,Apple,Low,esg_real_world_50_samples.csv
15,"Nike reported maintaining pay equity for women globally and U.S. racial and ethnic minorities, while continuing efforts to diversify leadership and strengthen representation.",Social,Positive,Nike FY22 Impact Report,https://about.nike.com/en/resources/fy22-nike-inc-impact-report,Nike,Low,esg_real_world_50_samples.csv
16,"Nike's sustainability data discusses injury rates and worker safety metrics covering full-time and certain temporary workers, indicating ongoing tracking of workplace safety performance.",Social,Neutral,Nike FY24 Sustainability Data,https://media.about.nike.com/files/460d3198-9609-4f5b-b18c-d4e7aa570bff/FY24_NIKE%2C-Inc.-Sustainability-Data.pdf,Nike,Medium,esg_real_world_50_samples.csv
17,Starbucks states that responsible sourcing and human rights practices are embedded in coffee and environmental supply chain initiatives involving farms and suppliers.,Social,Positive,Starbucks Fiscal 2024 Global Impact Report,https://about.starbucks.com/uploads/2025/05/Starbucks-Fiscal-2024-Global-Impact-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv
18,"Brazilian workers filed a lawsuit alleging forced-labor-like conditions on coffee farms connected to Starbucks supply chains, raising serious supply chain human rights concerns.",Social,Negative,Guardian Starbucks forced labor lawsuit,https://www.theguardian.com/world/2025/apr/24/starbucks-brazil-coffee-forced-labour,Starbucks,High,esg_real_world_50_samples.csv
19,"Coca-Cola HBC states that it is committed to identifying, preventing, and mitigating adverse human rights impacts connected with employees and business relationships.",Social,Positive,Coca-Cola HBC Sustainability Statement 2024,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/sustainability-statement-2024.pdf,Coca-Cola HBC,Low,esg_real_world_50_samples.csv
20,Unilever's sustainability statement describes board-level oversight of human rights due diligence and risk management through governance bodies and committees.,Social,Positive,Unilever Sustainability Statement,https://www.unilever.com/files/unilever-sustainability-statement.pdf,Unilever,Low,esg_real_world_50_samples.csv
21,Walmart says its sustainability priorities include supporting people in supply chains through responsible sourcing and inclusive economic opportunity.,Social,Positive,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv
22,Amazon's sustainability reporting references workplace safety programs and supply chain standards as part of its broader sustainability operating model.,Social,Neutral,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-report,Amazon,Medium,esg_real_world_50_samples.csv
23,Starbucks works with coffee farms and suppliers to deliver products while also supporting economic development in the communities tied to its sourcing network.,Social,Positive,Starbucks Fiscal 2024 Global Impact Report,https://about.starbucks.com/uploads/2025/05/Starbucks-Fiscal-2024-Global-Impact-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv
24,"Coca-Cola HBC describes employee onboarding and leadership programs that cover diversity, equity, inclusion, and human rights topics.",Social,Positive,Coca-Cola HBC Sustainability Statement 2024,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/sustainability-statement-2024.pdf,Coca-Cola HBC,Low,esg_real_world_50_samples.csv
25,Unilever states that human rights remain a core part of its sustainability agenda and are connected to how the company manages social impact across operations.,Social,Positive,Unilever Sustainability,https://www.unilever.com/sustainability/,Unilever,Low,esg_real_world_50_samples.csv
26,"Amazon's report highlights efforts to build a more sustainable company for partners, employees, and communities while continuing to manage workplace and supply chain priorities.",Social,Neutral,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Medium,esg_real_world_50_samples.csv
27,The SEC charged WisdomTree with failing to follow its own investment criteria for ESG-marketed funds and with misstating exposure to fossil fuels and tobacco.,Governance,Negative,SEC WisdomTree ESG enforcement,https://www.sec.gov/newsroom/press-releases/2024-173,WisdomTree,High,esg_real_world_50_samples.csv
28,"The SEC charged Deutsche Bank subsidiary DWS over misstatements regarding ESG investments and related compliance failures, leading to a monetary settlement.",Governance,Negative,SEC DWS ESG enforcement,https://www.sec.gov/newsroom/press-releases/2023-194,DWS,High,esg_real_world_50_samples.csv
29,German prosecutors fined DWS after finding that the asset manager made misleading ESG-related statements in marketing and documentation.,Governance,Negative,Reuters DWS German greenwashing fine,https://www.reuters.com/sustainability/german-asset-manager-dws-fined-25-mln-eur-greenwashing-case-2025-04-02/,DWS,High,esg_real_world_50_samples.csv
30,The SEC charged Vale with misleading investors about dam safety and related environmental and economic risks before a major mining disaster.,Governance,Negative,SEC Vale dam safety case,https://www.sec.gov/newsroom/press-releases/2022-72,Vale,High,esg_real_world_50_samples.csv
31,The Apple Watch carbon-neutral ruling raised governance concerns about the substantiation and oversight of environmental marketing claims.,Governance,Negative,Reuters Apple Watch carbon-neutral ruling,https://www.reuters.com/sustainability/climate-energy/apple-watch-not-co2-neutral-product-german-court-finds-2025-08-26/,Apple,High,esg_real_world_50_samples.csv
32,"The SEC climate disclosure rule increased governance expectations for board oversight, risk controls, and reliable public-company climate reporting.",Governance,Neutral,SEC climate disclosure rule,https://www.sec.gov/newsroom/press-releases/2024-31,SEC climate rule,Medium,esg_real_world_50_samples.csv
33,"Unilever states that its board and corporate responsibility committee oversee human rights due diligence and risk management, linking social risk to governance oversight.",Governance,Positive,Unilever Sustainability Statement,https://www.unilever.com/files/unilever-sustainability-statement.pdf,Unilever,Low,esg_real_world_50_samples.csv
34,"Walmart frames ESG reporting as part of building stakeholder trust while managing emissions, responsible sourcing, natural resources, and supply chain resilience.",Governance,Positive,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv
35,"Microsoft's sustainability reporting describes transparency and accountability around environmental goals, which supports governance oversight of climate commitments.",Governance,Positive,Microsoft Sustainability Report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,Microsoft,Low,esg_real_world_50_samples.csv
36,"Starbucks identifies supply chain sustainability and climate-related risks in its annual reporting, indicating governance attention to operational and sourcing risks.",Governance,Neutral,Starbucks Fiscal 2024 Annual Report,https://s203.q4cdn.com/326826266/files/doc_financials/2024/ar/Starbucks-Fiscal-2024-Annual-Report.pdf,Starbucks,Medium,esg_real_world_50_samples.csv
37,"The Los Angeles County lawsuit against beverage companies alleges misleading environmental claims, creating governance risk around disclosure controls and marketing oversight.",Governance,Negative,AP beverage plastic lawsuit,https://apnews.com/article/c326225a08b2a2778afdd27d3db2d628,Coca-Cola / PepsiCo,High,esg_real_world_50_samples.csv
38,The WisdomTree case shows that ESG fund governance requires internal controls capable of ensuring marketed investment screens are actually implemented.,Governance,Negative,SEC WisdomTree ESG enforcement,https://www.sec.gov/newsroom/press-releases/2024-173,WisdomTree,High,esg_real_world_50_samples.csv
39,"Starbucks' annual report discusses risks related to opening new stores, scaling supply chain infrastructure, and adapting product offerings to consumer preferences.",Non-ESG,Neutral,Starbucks Fiscal 2024 Annual Report,https://s203.q4cdn.com/326826266/files/doc_financials/2024/ar/Starbucks-Fiscal-2024-Annual-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv
40,"Feng Tay reported that despite a turbulent global economy and sportswear industry competition, revenue increased slightly and profit metrics outperformed the previous year.",Non-ESG,Positive,Feng Tay 2024 Sustainability Report,https://www.fengtay.com/uploads/images/csr/English/2024ESGreport_en.pdf,Feng Tay,Low,esg_real_world_50_samples.csv
41,Coca-Cola FEMSA described 2024 as part of a broader transformation while reporting business progress and implementation of strategic initiatives.,Non-ESG,Positive,Coca-Cola FEMSA 2024 Integrated Report,https://investors.coca-colafemsa.com/assets/files/reportes_resultados_en/2024/integrated-report-kof-ir-2024-eng.pdf,Coca-Cola FEMSA,Low,esg_real_world_50_samples.csv
42,"Amazon's sustainability report covers multiple business units including AWS, Devices, Amazon Fresh, Whole Foods Market, Stores, and Twitch.",Non-ESG,Neutral,Amazon Sustainability Report PDF,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Low,esg_real_world_50_samples.csv
43,Apple announced new product design and materials information across its devices as part of broader product development and operations updates.,Non-ESG,Neutral,Apple Environment,https://www.apple.com/environment/,Apple,Low,esg_real_world_50_samples.csv
44,"Microsoft provides annual sustainability updates alongside broader corporate responsibility reporting for customers, partners, and employees.",Non-ESG,Neutral,Microsoft Sustainability Report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,Microsoft,Low,esg_real_world_50_samples.csv
45,Nike publishes sustainability data files as part of its corporate reporting package and uses them to provide structured information to stakeholders.,Non-ESG,Neutral,Nike FY24 Sustainability Data,https://media.about.nike.com/files/460d3198-9609-4f5b-b18c-d4e7aa570bff/FY24_NIKE%2C-Inc.-Sustainability-Data.pdf,Nike,Low,esg_real_world_50_samples.csv
