sample_id,text,esg_label,sentiment_label,source_name,source_url,company,risk_label,split_source
46,"Walmart describes sustainability as connected to everyday low cost, supply certainty, innovation, and long-term business resilience.",Non-ESG,Neutral,Walmart Sustainability,https://corporate.walmart.com/purpose/sustainability,Walmart,Low,esg_real_world_50_samples.csv
47,"Starbucks annual reporting discusses market factors, supply chain infrastructure, product innovation, and customer response as business risks.",Non-ESG,Neutral,Starbucks Fiscal 2024 Annual Report,https://s203.q4cdn.com/326826266/files/doc_financials/2024/ar/Starbucks-Fiscal-2024-Annual-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv
48,"Unilever's annual reporting covers company performance, strategic priorities, and operating context in addition to sustainability disclosures.",Non-ESG,Neutral,Unilever Annual Report 2024,https://www.unilever.com/files/unilever-annual-report-and-accounts-2024.pdf,Unilever,Low,esg_real_world_50_samples.csv
49,Coca-Cola HBC describes leadership programs and internal policy communication as part of general management and employee onboarding processes.,Non-ESG,Neutral,Coca-Cola HBC Sustainability Statement 2024,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/sustainability-statement-2024.pdf,Coca-Cola HBC,Low,esg_real_world_50_samples.csv
50,"Amazon's report explains that sustainability coverage spans subsidiaries and business units, which is a reporting scope statement rather than a specific ESG risk event.",Non-ESG,Neutral,Amazon Sustainability Report PDF,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Low,esg_real_world_50_samples.csv
HARD_E_001,The company disclosed that Scope 1 and Scope 2 carbon emissions rose after production expanded faster than its renewable energy program.,Environmental,Negative,synthetic_hard_examples,,Company Alpha,High,esg_hard_examples.csv
HARD_E_002,Management said its climate transition plan now prioritizes renewable energy procurement to lower Scope 1 and Scope 2 emissions over the next three years.,Environmental,Positive,synthetic_hard_examples,,Company Beta,Low,esg_hard_examples.csv
HARD_E_003,The annual report noted higher water usage at several facilities located in drought-prone regions without a matching reduction target.,Environmental,Negative,synthetic_hard_examples,,Company Gamma,High,esg_hard_examples.csv
HARD_E_004,The issuer expanded on-site solar generation and battery storage as part of a broader climate transition strategy.,Environmental,Positive,synthetic_hard_examples,,Company Delta,Low,esg_hard_examples.csv
HARD_E_005,Environmental regulators opened a review after repeated pollution events at the company's coastal processing plant.,Environmental,Negative,synthetic_hard_examples,,Company Epsilon,High,esg_hard_examples.csv
HARD_E_006,The sustainability update described lower landfill waste and better hazardous waste segregation across manufacturing sites.,Environmental,Positive,synthetic_hard_examples,,Company Zeta,Low,esg_hard_examples.csv
HARD_E_007,The company stated that biodiversity monitoring will continue around new mining assets but did not report measurable restoration outcomes.,Environmental,Neutral,synthetic_hard_examples,,Company Eta,Medium,esg_hard_examples.csv
HARD_E_008,Management warned that stricter environmental regulation could increase compliance spending for wastewater treatment.,Environmental,Negative,synthetic_hard_examples,,Company Theta,High,esg_hard_examples.csv
HARD_E_009,The climate disclosure confirmed that renewable electricity covered most office operations but not the firm's outsourced data centers.,Environmental,Neutral,synthetic_hard_examples,,Company Iota,Medium,esg_hard_examples.csv
HARD_E_010,The company reduced packaging waste by redesigning shipping materials and shifting suppliers toward recyclable inputs.,Environmental,Positive,synthetic_hard_examples,,Company Kappa,Low,esg_hard_examples.csv
HARD_E_011,The filing acknowledged a spike in nitrogen oxide emissions during plant maintenance outages.,Environmental,Negative,synthetic_hard_examples,,Company Lambda,High,esg_hard_examples.csv
HARD_E_012,The board approved new targets for water usage intensity after several regions reported tightening water permits.,Environmental,Neutral,synthetic_hard_examples,,Company Mu,Medium,esg_hard_examples.csv
HARD_E_013,The sustainability committee linked future capital spending to climate disclosure quality and progress on emissions reduction.,Environmental,Positive,synthetic_hard_examples,,Company Nu,Low,esg_hard_examples.csv
HARD_E_014,The company recorded higher waste treatment costs after contamination was found in storage areas near a distribution hub.,Environmental,Negative,synthetic_hard_examples,,Company Xi,High,esg_hard_examples.csv
HARD_E_015,Management said biodiversity risk assessments will be embedded in project approvals for new land-intensive sites.,Environmental,Neutral,synthetic_hard_examples,,Company Omicron,Medium,esg_hard_examples.csv
HARD_E_016,The report highlighted that Scope 1 emissions fell after fuel switching and better heat recovery systems were installed.,Environmental,Positive,synthetic_hard_examples,,Company Pi,Low,esg_hard_examples.csv
HARD_E_017,Several investors challenged the company's climate transition assumptions because planned offsets were not supported by detailed disclosure.,Environmental,Negative,synthetic_hard_examples,,Company Rho,High,esg_hard_examples.csv
HARD_E_018,The company expanded renewable energy contracts to cover a larger share of manufacturing electricity demand.,Environmental,Positive,synthetic_hard_examples,,Company Sigma,Low,esg_hard_examples.csv
HARD_E_019,The issuer published a revised climate disclosure that added scenario analysis for carbon pricing and physical risk.,Environmental,Neutral,synthetic_hard_examples,,Company Tau,Medium,esg_hard_examples.csv
HARD_E_020,The operating review said local authorities cited the company for stormwater pollution linked to waste handling failures.,Environmental,Negative,synthetic_hard_examples,,Company Upsilon,High,esg_hard_examples.csv
HARD_S_001,The company reported fewer worker safety incidents after expanding mandatory training at warehouse and transport sites.,Social,Positive,synthetic_hard_examples,,Company Phi,Low,esg_hard_examples.csv
HARD_S_002,A supplier labor audit found excessive overtime and weak grievance channels at several subcontractor facilities.,Social,Negative,synthetic_hard_examples,,Company Chi,High,esg_hard_examples.csv
HARD_S_003,Management introduced a new human rights due diligence process for sourcing from higher-risk regions.,Social,Neutral,synthetic_hard_examples,,Company Psi,Medium,esg_hard_examples.csv
HARD_S_004,The annual report described stronger diversity and inclusion hiring outcomes across technical leadership roles.,Social,Positive,synthetic_hard_examples,,Company Omega,Low,esg_hard_examples.csv
HARD_S_005,The company faced allegations of employee harassment that triggered an internal review and external legal counsel.,Social,Negative,synthetic_hard_examples,,Company Atlas,High,esg_hard_examples.csv
HARD_S_006,Customer privacy controls were upgraded after a prior review identified weak consent management in the mobile platform.,Social,Positive,synthetic_hard_examples,,Company Beacon,Low,esg_hard_examples.csv
HARD_S_007,The issuer disclosed a product safety investigation involving overheating units sold in two regional markets.,Social,Negative,synthetic_hard_examples,,Company Cedar,High,esg_hard_examples.csv
HARD_S_008,"The workforce reduction program was described as a cost action, but the filing also noted expanded transition support for affected staff.",Social,Neutral,synthetic_hard_examples,,Company Drift,Medium,esg_hard_examples.csv
HARD_S_009,"Community impact spending increased around the firm's new manufacturing corridor, with funding directed to local job training.",Social,Positive,synthetic_hard_examples,,Company Ember,Low,esg_hard_examples.csv
HARD_S_010,The report noted persistent labor conditions complaints from temporary workers at a seasonal packaging site.,Social,Negative,synthetic_hard_examples,,Company Forge,High,esg_hard_examples.csv
HARD_S_011,"The company rolled out new supplier labor standards covering wage disclosure, rest periods, and corrective action plans.",Social,Neutral,synthetic_hard_examples,,Company Grove,Medium,esg_hard_examples.csv
HARD_S_012,Management said worker safety performance improved after installing automated shutoff systems in older facilities.,Social,Positive,synthetic_hard_examples,,Company Harbor,Low,esg_hard_examples.csv
HARD_S_013,A cybersecurity event exposed customer privacy weaknesses and required notification to impacted account holders.,Social,Negative,synthetic_hard_examples,,Company Ivory,High,esg_hard_examples.csv
HARD_S_014,The company expanded mentorship and diversity and inclusion targets for women in operations leadership.,Social,Positive,synthetic_hard_examples,,Company Juniper,Low,esg_hard_examples.csv
HARD_S_015,The human rights statement acknowledged higher monitoring needs in agricultural sourcing chains but reported no confirmed severe breaches.,Social,Neutral,synthetic_hard_examples,,Company Keystone,Medium,esg_hard_examples.csv
HARD_S_016,Several communities challenged the firm's land-use plan because consultation on local impacts was incomplete.,Social,Negative,synthetic_hard_examples,,Company Linden,High,esg_hard_examples.csv
HARD_S_017,The company updated product safety testing standards before releasing a redesigned consumer device.,Social,Positive,synthetic_hard_examples,,Company Meridian,Low,esg_hard_examples.csv
HARD_S_018,Management disclosed that supplier labor findings would now affect vendor renewal decisions and executive review.,Social,Neutral,synthetic_hard_examples,,Company Northstar,Medium,esg_hard_examples.csv
HARD_S_019,"The filing described a workforce reduction tied to automation, with unions criticizing the pace of consultation.",Social,Negative,synthetic_hard_examples,,Company Orion,High,esg_hard_examples.csv
HARD_S_020,The company reported stronger employee retention after improving shift scheduling and mental health benefits.,Social,Positive,synthetic_hard_examples,,Company Prairie,Low,esg_hard_examples.csv
HARD_G_001,The board oversight review found that the audit committee did not escalate repeated internal controls issues quickly enough.,Governance,Negative,synthetic_hard_examples,,Company Quartz,High,esg_hard_examples.csv
HARD_G_002,Management revised executive compensation metrics to include longer-term operational and compliance performance.,Governance,Positive,synthetic_hard_examples,,Company Ridge,Low,esg_hard_examples.csv
HARD_G_003,The company disclosed a regulatory investigation related to possible bribery in overseas procurement contracts.,Governance,Negative,synthetic_hard_examples,,Company Summit,High,esg_hard_examples.csv
HARD_G_004,Shareholder rights were strengthened through a new proxy access policy and clearer voting procedures.,Governance,Positive,synthetic_hard_examples,,Company Timber,Low,esg_hard_examples.csv
HARD_G_005,The annual filing said the audit committee reviewed a material weakness in internal controls over contract approvals.,Governance,Negative,synthetic_hard_examples,,Company Union,High,esg_hard_examples.csv
HARD_G_006,The board added directors with risk and accounting backgrounds to improve oversight quality.,Governance,Positive,synthetic_hard_examples,,Company Vale,Low,esg_hard_examples.csv
HARD_G_007,The company updated its anti-corruption program and required annual certifications from higher-risk intermediaries.,Governance,Neutral,synthetic_hard_examples,,Company Willow,Medium,esg_hard_examples.csv
HARD_G_008,A whistleblower complaint alleged greenwashing in marketing claims about the sustainability of a flagship product line.,Governance,Negative,synthetic_hard_examples,,Company Xenon,High,esg_hard_examples.csv
HARD_G_009,Management described improved board oversight of cyber and compliance risks through quarterly committee reviews.,Governance,Positive,synthetic_hard_examples,,Company Yonder,Low,esg_hard_examples.csv
HARD_G_010,The issuer restated prior disclosures after identifying misleading disclosure around vendor due diligence controls.,Governance,Negative,synthetic_hard_examples,,Company Zenith,High,esg_hard_examples.csv
HARD_G_011,The proxy statement explained how executive compensation clawback rules were aligned with misconduct findings.,Governance,Neutral,synthetic_hard_examples,,Company Arbor,Medium,esg_hard_examples.csv
HARD_G_012,Regulators requested documents after the company disclosed weaknesses in anti-bribery monitoring.,Governance,Negative,synthetic_hard_examples,,Company Bristle,High,esg_hard_examples.csv
HARD_G_013,The governance report detailed how shareholder rights proposals would be reviewed by independent directors.,Governance,Neutral,synthetic_hard_examples,,Company Crest,Medium,esg_hard_examples.csv
HARD_G_014,The audit committee approved a remediation plan for internal controls gaps in inventory valuation.,Governance,Neutral,synthetic_hard_examples,,Company Dune,Medium,esg_hard_examples.csv
HARD_G_015,The company faced criticism after a regulatory investigation questioned the accuracy of sustainability-linked claims.,Governance,Negative,synthetic_hard_examples,,Company Echo,High,esg_hard_examples.csv
HARD_G_016,Board oversight of compliance was expanded after separating the chief executive and chair roles.,Governance,Positive,synthetic_hard_examples,,Company Flint,Low,esg_hard_examples.csv
HARD_G_017,The filing described a corruption probe involving distributor rebates and side agreements in one region.,Governance,Negative,synthetic_hard_examples,,Company Glade,High,esg_hard_examples.csv
HARD_G_018,The company refreshed its code of business conduct and tied violations to compensation consequences.,Governance,Positive,synthetic_hard_examples,,Company Haven,Low,esg_hard_examples.csv
HARD_G_019,Directors reviewed greenwashing controls for advertising and investor communications but did not change governance structure.,Governance,Neutral,synthetic_hard_examples,,Company Inlet,Medium,esg_hard_examples.csv
HARD_G_020,The audit committee disclosed recurring control failures in vendor onboarding and approval workflows.,Governance,Negative,synthetic_hard_examples,,Company Jasper,High,esg_hard_examples.csv
HARD_N_001,The company raised quarterly revenue guidance after stronger subscription renewals in North America.,Non-ESG,Positive,synthetic_hard_examples,,Company Kindle,Low,esg_hard_examples.csv
HARD_N_002,Management said foreign exchange volatility reduced reported sales despite stable unit demand.,Non-ESG,Negative,synthetic_hard_examples,,Company Ledger,Low,esg_hard_examples.csv
HARD_N_003,The firm launched a new product line aimed at premium customers in urban markets.,Non-ESG,Positive,synthetic_hard_examples,,Company Mosaic,Low,esg_hard_examples.csv
HARD_N_004,The quarterly update highlighted a share repurchase program funded by excess operating cash flow.,Non-ESG,Positive,synthetic_hard_examples,,Company Nimbus,Low,esg_hard_examples.csv
HARD_N_005,The company revised dividend policy after forecasting tighter free cash flow in the second half.,Non-ESG,Neutral,synthetic_hard_examples,,Company Opal,Low,esg_hard_examples.csv
HARD_N_006,Management said operating margin narrowed because inventory adjustment charges were higher than planned.,Non-ESG,Negative,synthetic_hard_examples,,Company Paragon,Low,esg_hard_examples.csv
HARD_N_007,The company expects market share gains after rolling out a lower-priced version of its main product.,Non-ESG,Positive,synthetic_hard_examples,,Company Quill,Low,esg_hard_examples.csv
HARD_N_008,Sales guidance was reduced after distributors delayed orders ahead of a regional pricing strategy reset.,Non-ESG,Negative,synthetic_hard_examples,,Company Radius,Low,esg_hard_examples.csv
HARD_N_009,The filing stated that new product launch timing remains unchanged despite a slower customer approval cycle.,Non-ESG,Neutral,synthetic_hard_examples,,Company Solace,Low,esg_hard_examples.csv
HARD_N_010,The company reported stronger operating margin as freight costs eased and product mix improved.,Non-ESG,Positive,synthetic_hard_examples,,Company Trident,Low,esg_hard_examples.csv
HARD_N_011,Inventory adjustment charges increased after demand shifted away from older consumer models.,Non-ESG,Negative,synthetic_hard_examples,,Company Umber,Low,esg_hard_examples.csv
HARD_N_012,Management approved an additional share repurchase authorization alongside unchanged capital expenditure guidance.,Non-ESG,Neutral,synthetic_hard_examples,,Company Vertex,Low,esg_hard_examples.csv
HARD_N_013,Quarterly revenue improved modestly even though foreign exchange reduced the reported growth rate.,Non-ESG,Positive,synthetic_hard_examples,,Company Warden,Low,esg_hard_examples.csv
HARD_N_014,The board discussed dividend coverage ratios after weaker operating margin in the consumer segment.,Non-ESG,Negative,synthetic_hard_examples,,Company Axion,Low,esg_hard_examples.csv
HARD_N_015,The company believes its pricing strategy will protect market share during a more promotional quarter.,Non-ESG,Neutral,synthetic_hard_examples,,Company Briar,Low,esg_hard_examples.csv
HARD_N_016,A new product launch in the enterprise segment supported improved sales guidance for the fiscal year.,Non-ESG,Positive,synthetic_hard_examples,,Company Cobalt,Low,esg_hard_examples.csv
HARD_N_017,Foreign exchange headwinds offset some benefits from higher unit volumes in Latin America.,Non-ESG,Negative,synthetic_hard_examples,,Company Driftwood,Low,esg_hard_examples.csv
HARD_N_018,Management said dividend payments would remain steady while inventory adjustment actions continue through year-end.,Non-ESG,Neutral,synthetic_hard_examples,,Company Ever,Low,esg_hard_examples.csv
HARD_N_019,The company expanded in-store distribution to defend market share before a major seasonal launch.,Non-ESG,Positive,synthetic_hard_examples,,Company Fable,Low,esg_hard_examples.csv
HARD_N_020,Sales guidance was maintained even as operating margin assumptions were revised downward for raw material costs.,Non-ESG,Neutral,synthetic_hard_examples,,Company Gale,Low,esg_hard_examples.csv
